rowID	N170f	B150f	G100m	I180f	N110m	E270f	blank4	neat_qc2	pooled_qc2	E280m	blank1	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m	blank2	blank3	neat_qc1	pooled_qc1	O110m	F140f	L120m	M280f
met_4327	10000	63500	173000	19700	135000	34900	54900	5270	0	50500	231000	74700	33700	93700	11300	71200	44800	23000	41300	21600	5010	3800	8980	0	57300	53200	104000	84800
met_4331	17300	46600	129000	13800	151000	0	25900	0	0	50600	225000	41400	69400	103000	0	49100	72500	16300	46200	15300	0	0	0	0	73600	74400	66900	172000
met_434	291000	301000	222000	245000	218000	265000	213000	242000	233000	245000	268000	272000	259000	280000	207000	245000	223000	218000	243000	235000	213000	233000	242000	286000	253000	262000	270000	272000
met_4371	137000	137000	126000	135000	135000	55800	135000	18200	133000	133000	186000	127000	127000	125000	115000	135000	111000	123000	112000	118000	142000	142000	150000	137000	142000	128000	137000	136000
met_4376	6080	51700	142000	17200	113000	0	52600	0	0	45100	182000	61300	39200	96000	4240	63700	29500	30000	31000	13600	0	0	0	0	51100	56800	88300	67000
met_4383	120000	127000	131000	132000	129000	104000	143000	19300	123000	135000	180000	119000	123000	120000	107000	122000	118000	113000	102000	116000	136000	142000	166000	142000	139000	141000	129000	128000
met_440	840000	80700	890000	664000	115000	1210000	210000	356000	0	0	1070000	456000	525000	636000	338000	545000	598000	934000	766000	419000	539000	0	0	0	3580	526000	650000	778000
met_4400	166000	159000	128000	144000	132000	246000	132000	235000	121000	123000	172000	128000	619000	125000	14600	120000	122000	122000	114000	122000	269000	285000	152000	152000	160000	262000	123000	136000
met_4418	17800	64400	139000	22600	107000	11000	48700	10500	9540	41700	160000	59800	38500	93800	4270	59100	36900	42900	40000	19800	47300	98900	4740	5380	53300	52300	90900	67200
met_4530	83200	231000	76000	143000	137000	80500	86200	140000	52300	137000	106000	37700	88000	65600	127000	116000	110000	68400	83600	108000	155000	172000	213000	103000	97900	45300	53700	84400
met_4556	187000	135000	484000	225000	332000	104000	73300	62900	144000	105000	97800	127000	193000	90200	97500	176000	194000	390000	123000	93300	72900	77000	78800	162000	202000	108000	159000	177000
met_4580	68500	747000	4390000	110000	1980000	173000	2120000	0	2060	1170000	93400	2150000	1430000	1960000	500000	1420000	562000	1640000	681000	152000	3660	0	2780	0	1320000	846000	4980000	1700000
met_4618	146000	122000	129000	116000	128000	114000	134000	133000	125000	121000	87900	120000	107000	120000	68200	113000	110000	106000	99100	105000	181000	203000	195000	189000	155000	143000	130000	135000
met_4625	77400	72400	75700	79300	62900	63300	82500	88000	82600	63800	86700	67400	82400	64200	94500	78700	65100	58800	62500	62300	87200	81900	89500	83200	90200	93100	106000	78400
met_4735	66800	66500	69300	67900	65600	57900	69000	67200	64100	59300	71200	58200	60600	59000	54000	64800	67000	60500	57700	56000	83300	79600	87900	80300	76700	77800	66700	80000
met_4748	47700	41600	42600	39200	45900	7000	43600	3660	38300	36200	70300	42500	47700	41700	3640	37300	37500	35900	37700	34300	47800	45800	46600	44900	42200	7890	42500	42400
met_4755	106000	110000	62600	85200	79800	58700	85200	95800	63200	76800	70000	102000	61900	63800	55200	57300	85600	56400	89300	94500	96800	114000	113000	75100	98700	110000	112000	111000
met_4777	58300	75700	52600	55700	59500	63900	61300	73400	55900	51500	67800	52300	57500	51800	53700	58300	47100	50200	46100	61000	71000	62900	67200	62300	61100	79500	64800	63500
